"dS","U:0","U:1","U:2","MaU","T","T0","U0:0","U0:1","U0:2","p","p0","potential","rho","rho0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00294528471979631,-0.00238009751774371,-0.396617472171783,0,0.396895706653595,1.04856610298157,1.04998564720154,-5.4201467492021e-007,-0.394706577062607,0,0.748132944107056,0.749980509281158,0.935973227024078,0.998874604701996,0.999987542629242,1,0.0839999988675117,2,-0.0160000007599592,0
-0.00296310497901731,-0.00237872544676065,-0.39660570025444,0,0.39688378572464,1.04856669902802,1.04998576641083,-6.76134504828951e-007,-0.394706636667252,0,0.74814772605896,0.749980568885803,0.935973227024078,0.998893857002258,0.999987602233887,1,0.0900000035762787,2,-0.00999999977648258,0
-0.00297174979121492,-0.00237205601297319,-0.396591156721115,0,0.3968685567379,1.04857015609741,1.04998588562012,-7.49279479350662e-007,-0.394706726074219,0,0.748164355754852,0.749980628490448,0.935973227024078,0.998912692070007,0.999987661838531,1,0.096000000834465,2,-0.00400000018998981,0
-0.00297728868226503,-0.00236357119865716,-0.396575719118118,0,0.396852195262909,1.0485748052597,1.04998588562012,-8.00090049324353e-007,-0.394706845283508,0,0.748181581497192,0.749980747699738,0.935973227024078,0.998931288719177,0.999987781047821,1,0.101999998092651,2,0.0020000000949949,0
-0.00297661572900737,-0.00235145562328398,-0.396558523178101,0,0.396833628416061,1.04858136177063,1.04998600482941,-8.06231810202007e-007,-0.394706964492798,0,0.748199999332428,0.749980926513672,0.935973227024078,0.998949527740479,0.999987900257111,1,0.108000002801418,2,0.00800000037997961,0
-0.00296982759699318,-0.00233562872745097,-0.396539479494095,0,0.396812826395035,1.04859006404877,1.04998600482941,-7.69073551509791e-007,-0.394707143306732,0,0.748219549655914,0.749981105327606,0.935973227024078,0.998967349529266,0.999988079071045,1,0.114000000059605,2,0.0140000004321337,0
-0.00295998187853974,-0.00231794593855739,-0.396519541740417,0,0.396790951490402,1.04859983921051,1.0499861240387,-7.10265396719478e-007,-0.394707322120667,0,0.748239636421204,0.749981284141541,0.935973227024078,0.99898499250412,0.999988198280334,1,0.120000004768372,2,0.0199999995529652,0
-0.00294010544107877,-0.00229460652917624,-0.396496921777725,0,0.396765768527985,1.04861259460449,1.04998624324799,-5.98688757236232e-007,-0.394707471132278,0,0.748261451721191,0.74998140335083,0.935973227024078,0.999001920223236,0.999988317489624,1,0.126000002026558,2,0.0260000005364418,0
-0.00291717233162846,-0.00226936349645257,-0.396473407745361,0,0.396739512681961,1.04862642288208,1.04998624324799,-4.77109097118955e-007,-0.394707590341568,0,0.748283803462982,0.749981462955475,0.935973227024078,0.999018549919128,0.999988436698914,1,0.131999999284744,2,0.0320000015199184,0
-0.00288812590477409,-0.00224031321704388,-0.396448135375977,0,0.396711021661758,1.04864239692688,1.04998624324799,-3.35523623107292e-007,-0.394707649946213,0,0.748307168483734,0.74998152256012,0.935973227024078,0.999034762382507,0.999988496303558,1,0.137999996542931,2,0.0379999987781048,0
-0.00285277600012352,-0.00220744451507926,-0.396421074867249,0,0.396680414676666,1.04866015911102,1.04998624324799,-1.9456533095763e-007,-0.394707649946213,0,0.748331665992737,0.74998152256012,0.935973227024078,0.999050378799438,0.999988496303558,1,0.143999993801117,2,0.0439999997615814,0
-0.00281427436559206,-0.00217266636900604,-0.396393150091171,0,0.396648705005646,1.04867899417877,1.0499861240387,-5.39207292149513e-008,-0.39470762014389,0,0.748356640338898,0.749981462955475,0.935973227024078,0.999065816402435,0.999988436698914,1,0.150000005960464,2,0.0500000007450581,0
-0.00276646230684059,-0.00213218573480845,-0.396362602710724,0,0.396613776683807,1.04870080947876,1.04998600482941,5.23277847719328e-008,-0.394707471132278,0,0.748383224010468,0.749981224536896,0.935973227024078,0.999080538749695,0.999988257884979,1,0.156000003218651,2,0.0560000017285347,0
-0.00271573817825026,-0.00208982778713107,-0.396331161260605,0,0.396577805280685,1.04872357845306,1.04998600482941,1.37860951099356e-007,-0.394707262516022,0,0.748410284519196,0.749980986118317,0.935973227024078,0.999095022678375,0.9999880194664,1,0.162000000476837,2,0.061999998986721,0
-0.00265918978581551,-0.0020437145140022,-0.396298050880432,0,0.396539777517319,1.04874813556671,1.04998576641083,1.81963656586959e-007,-0.39470699429512,0,0.74843841791153,0.749980688095093,0.935973227024078,0.999109029769897,0.999987781047821,1,0.168000012636185,2,0.068000003695488,0
-0.00259700905856231,-0.00199392274953425,-0.396263241767883,0,0.396499663591385,1.04877471923828,1.04998564720154,1.75601385876689e-007,-0.394706696271896,0,0.74846750497818,0.749980330467224,0.935973227024078,0.999122679233551,0.999987423419952,1,0.17399999499321,2,0.0740000009536743,0
-0.00253201213403564,-0.00194229173939675,-0.396227598190308,0,0.396458566188812,1.04880213737488,1.04998552799225,1.44006705227184e-007,-0.39470636844635,0,0.748497128486633,0.749979972839355,0.935973227024078,0.999136090278625,0.999987065792084,1,0.180000007152557,2,0.0799999982118607,0
-0.00245856823420331,-0.00188530283048749,-0.396189481019974,0,0.396414488554001,1.04883217811584,1.04998540878296,4.31099422826264e-008,-0.394706040620804,0,0.748528182506561,0.749979674816132,0.935973227024078,0.999148845672607,0.99998676776886,1,0.186000004410744,2,0.0860000029206276,0
