"dp","U:0","U:1","U:2","T","T0","U0:0","U0:1","U0:2","p","p0","potential","rho","rho0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.000131919430443803,-0.000391385314287618,-0.394876807928085,0,1.04971277713776,1.04999995231628,0,-0.394688338041306,0,0.749868094921112,0.75,0.935973227024078,1.00009763240814,1,1,0.986700057983398,2,1.4867000579834,0
-0.000146228121354896,-0.000378670665668324,-0.394886642694473,0,1.04972016811371,1.04999995231628,0,-0.394688338041306,0,0.749853789806366,0.75,0.935973227024078,1.00007164478302,1,1,1.00100004673004,2,1.50100004673004,0
-0.000159995007281327,-0.000361644226359203,-0.394895046949387,0,1.0497305393219,1.04999995231628,0,-0.394688338041306,0,0.749840021133423,0.75,0.935973227024078,1.0000433921814,1,1,1.01530003547668,2,1.51530003547668,0
-0.000173203992993695,-0.000341166538419202,-0.394902259111404,0,1.04974329471588,1.04999995231628,0,-0.394688338041306,0,0.749826788902283,0.75,0.935973227024078,1.00001347064972,1,1,1.02960002422333,2,1.52960002422333,0
-0.000185714410791365,-0.000316824676701799,-0.394908100366592,0,1.0497590303421,1.04999995231628,0,-0.394688338041306,0,0.74981427192688,0.75,0.935973227024078,0.999981939792633,1,1,1.04390001296997,2,1.54390001296997,0
-0.000197609709734978,-0.000289517774945125,-0.394912779331207,0,1.04977679252625,1.04999995231628,0,-0.394688338041306,0,0.74980241060257,0.75,0.935973227024078,0.999949157238007,1,1,1.05820000171661,2,1.55820000171661,0
-0.000208735421949726,-0.000259281776379794,-0.394916176795959,0,1.04979658126831,1.04999995231628,0,-0.394688338041306,0,0.749791264533997,0.75,0.935973227024078,0.999915361404419,1,1,1.07249999046326,2,1.57249999046326,0
-0.000219061334419128,-0.000226594187552109,-0.394918441772461,0,1.04981827735901,1.04999995231628,0,-0.394688338041306,0,0.74978095293045,0.75,0.935973227024078,0.999880850315094,1,1,1.0867999792099,2,1.5867999792099,0
-0.000228610004764927,-0.000191936822375283,-0.394919604063034,0,1.04984164237976,1.04999995231628,0,-0.394688338041306,0,0.749771416187286,0.75,0.935973227024078,0.999846041202545,1,1,1.10109996795654,2,1.60109996795654,0
-0.000237249105645076,-0.000155561909195967,-0.394919633865356,0,1.04986608028412,1.04999995231628,0,-0.394688338041306,0,0.749762773513794,0.75,0.935973227024078,0.999811172485352,1,1,1.11539995670319,2,1.61539995670319,0
-0.000245054337644294,-0.000118129028123803,-0.394918739795685,0,1.04989147186279,1.04999995231628,0,-0.394688338041306,0,0.749754965305328,0.75,0.935973227024078,0.999776601791382,1,1,1.12969994544983,2,1.62969994544983,0
-0.000251865418511018,-7.99303597887047e-005,-0.394916832447052,0,1.0499175786972,1.04999995231628,0,-0.394688338041306,0,0.749748110771179,0.75,0.935973227024078,0.999742686748505,1,1,1.14400005340576,2,1.64400005340576,0
